,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,ALABAMA,"SHRIMP, NORTHERN WHITE","13,657,953","6,195","27,628,012",Public,Commercial,Penaeus setiferus,95610,GULFFIN
2024,ALABAMA,"SHRIMP, ROYAL RED",,,,Confidential,Commercial,Pleoticus robustus,95966,GULFFIN
2024,ALABAMA,"SHRIMPS, ROCK **","44,440",20,"91,922",Public,Commercial,Sicyonia,96027,GULFFIN
2024,ALABAMA,"SNAPPER, GRAY","2,291",1,"8,861",Public,Commercial,Lutjanus griseus,168848,GULFFIN
2024,ALABAMA,"SNAPPER, LANE",,,,Confidential,Commercial,Lutjanus synagris,168860,GULFFIN
2024,ALABAMA,"SNAPPER, RED","87,831",40,"410,837",Public,Commercial,Lutjanus campechanus,168853,GULFFIN
2024,ALABAMA,"SNAPPER, VERMILION","17,678",8,"72,508",Public,Commercial,Rhomboplites aurorubens,168909,GULFFIN
2024,ALABAMA,SPADEFISH,"10,086",5,"9,675",Public,Commercial,Ephippidae ,553178,GULFFIN
2024,ALABAMA,SPOT,"1,151",1,724,Public,Commercial,Leiostomus xanthurus,169267,GULFFIN
2024,ALABAMA,"SQUIDS, LOLIGINIDAE **","2,002",1,"2,664",Public,Commercial,Loliginidae,82369,GULFFIN
2024,ALABAMA,"STINGRAYS, DASYATIDAE (FAMILY) **",,,,Confidential,Commercial,Dasyatidae,160946,GULFFIN
2024,ALABAMA,SWORDFISH,,,,Confidential,Commercial,Xiphias gladius,172482,EXCEPTIONS
2024,ALABAMA,"TRIGGERFISH, GRAY",339,0,"1,101",Public,Commercial,Balistes capriscus,173138,GULFFIN
2024,ALABAMA,TRIPLETAIL,167,0,336,Public,Commercial,Lobotes surinamensis,169007,GULFFIN
2024,ALABAMA,"TUNA, BIGEYE",,,,Confidential,Commercial,Thunnus obesus,172428,EXCEPTIONS
2024,ALABAMA,"TUNA, BLACKFIN","82,005",37,"140,909",Public,Commercial,Thunnus atlanticus,172427,GULFFIN
2024,ALABAMA,"TUNA, LITTLE TUNNY","5,081",2,"5,008",Public,Commercial,Euthynnus alletteratus,172402,GULFFIN
2024,ALABAMA,"TUNA, YELLOWFIN","4,543",2,"9,520",Public,Commercial,Thunnus albacares,172423,EXCEPTIONS
2024,ALABAMA,"VERTEBRATES, JAWED",,,,Confidential,Commercial,Gnathostomata ,914179,GULFFIN
2024,ALABAMA,WAHOO,,,,Confidential,Commercial,Acanthocybium solandri,172451,GULFFIN
2024,ALASKA,"CLAM, PACIFIC GEODUCK","337,190",153,"3,003,670",Public,Commercial,Panopea abrupta,81779,AKFIN
2024,ALASKA,"COD, PACIFIC","373,778,955","169,545","106,444,664",Public,Commercial,Gadus macrocephalus,164711,AKFIN
2024,ALASKA,"CRAB, DUNGENESS","5,669,616","2,572","18,015,383",Public,Commercial,Cancer magister,98675,AKFIN
2024,ALASKA,"CRAB, KING **","8,134,023","3,690","109,090,007",Public,Commercial,Paralithodes,97934,AKFIN
2024,ALASKA,"CRAB, SOUTHERN TANNER","7,199,640","3,266","26,029,381",Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2024,ALASKA,CRUSTACEANS **,"135,038",61,"1,229,807",Public,Commercial,Crustacea,83677,AKFIN
2024,ALASKA,"CUCUMBERS, SEA **","1,980,904",899,"9,779,889",Public,Commercial,Holothuroidea,158140,AKFIN
2024,ALASKA,FLATFISHES **,"33,266,821","15,090","5,716,901",Public,Commercial,Pleuronectiformes,172702,AKFIN
2024,ALASKA,"FLOUNDER, ARROWTOOTH","57,584,237","26,120","7,700,533",Public,Commercial,Atheresthes stomias,172862,AKFIN
2024,ALASKA,"HALIBUT, GREENLAND","1,651,359",749,"1,003,758",Public,Commercial,Reinhardtius hippoglossoides,172930,AKFIN
2024,ALASKA,"HALIBUT, PACIFIC","18,787,158","8,522","73,453,552",Public,Commercial,Hippoglossus stenolepis,172932,AKFIN
2024,ALASKA,"HERRING, PACIFIC","32,381,898","14,688","5,393,691",Public,Commercial,Clupea pallasii,551209,AKFIN
2024,ALASKA,LINGCOD,"525,453",238,"567,299",Public,Commercial,Ophiodon elongatus,167116,AKFIN
2024,ALASKA,"MACKEREL, ATKA","158,345,700","71,825","39,845,623",Public,Commercial,Pleurogrammus monopterygius,167120,AKFIN
2024,ALASKA,OCTOPUSES **,"482,669",219,"271,561",Public,Commercial,Octopodidae,82590,AKFIN
2024,ALASKA,"POLLOCK, WALLEYE ","3,141,574,287","1,425,009","432,472,430",Public,Commercial,Gadus chalcogrammus,934083,AKFIN
2024,ALASKA,"ROCKFISH, PACIFIC OCEAN PERCH","135,020,698","61,245","22,268,345",Public,Commercial,Sebastes alutus,166707,AKFIN
2024,ALASKA,"ROCKFISH, WIDOW","73,247",33,"6,228",Public,Commercial,Sebastes entomelas,166719,AKFIN
2024,ALASKA,"ROCKFISH, YELLOWTAIL","6,459",3,"1,812",Public,Commercial,Sebastes flavidus,166720,AKFIN
2024,ALASKA,ROCKFISHES **,"30,598,949","13,880","6,033,823",Public,Commercial,Sebastes ,166705,AKFIN
2024,ALASKA,SABLEFISH,"51,292,371","23,266","82,432,434",Public,Commercial,Anoplopoma fimbria,167123,AKFIN
2024,ALASKA,"SALMON, CHINOOK","2,422,390","1,099","13,046,604",Public,Commercial,Oncorhynchus tshawytscha,161980,AKFIN
2024,ALASKA,"SALMON, CHUM","90,729,873","41,155","45,700,570",Public,Commercial,Oncorhynchus keta,161976,AKFIN
2024,ALASKA,"SALMON, COHO","10,196,073","4,625","13,022,910",Public,Commercial,Oncorhynchus kisutch,161977,AKFIN
2024,ALASKA,"SALMON, PACIFIC **",,,"3,692",Public,Commercial,Oncorhynchus,161974,AKFIN
2024,ALASKA,"SALMON, PINK","101,001,579","45,814","33,807,724",Public,Commercial,Oncorhynchus gorbuscha,161975,AKFIN
2024,ALASKA,"SALMON, SOCKEYE","195,555,600","88,703","258,720,709",Public,Commercial,Oncorhynchus nerka,161979,AKFIN
2024,ALASKA,"SCALLOP, WEATHERVANE","19,319",9,"156,919",Public,Commercial,Patinopecten caurinus,79757,AKFIN
2024,ALASKA,"SHARK, DOGFISH, SPINY","14,650",7,"1,056",Public,Commercial,Squalus acanthias,160617,AKFIN
2024,ALASKA,"SHRIMPS, PENAEID **","788,316",358,"3,318,707",Public,Commercial,Penaeidae,95602,AKFIN
2024,ALASKA,"SKATES, RAJIDAE (FAMILY) **","30,837,607","13,988","665,305",Public,Commercial,Rajidae,160845,AKFIN
2024,ALASKA,"SOLE, BUTTER","403,867",183,"34,507",Public,Commercial,Isopsetta isolepis,172919,AKFIN
2024,ALASKA,"SOLE, ENGLISH","829,456",376,"59,102",Public,Commercial,Parophrys vetulus,172921,AKFIN
2024,ALASKA,"SOLE, FLATHEAD","28,983,413","13,147","4,837,619",Public,Commercial,Hippoglossoides elassodon,172875,AKFIN
2024,ALASKA,"SOLE, REX","4,154,505","1,884","1,101,437",Public,Commercial,Glyptocephalus zachirus,172978,AKFIN
2024,ALASKA,"SOLE, ROCK","65,640,224","29,774","10,868,277",Public,Commercial,Paraplagusia bilineata,173105,AKFIN
2024,ALASKA,"SOLE, SAND","16,687",8,"2,919",Public,Commercial,Psettichthys melanostictus,172928,AKFIN
2024,ALASKA,"SOLE, YELLOWFIN","197,469,076","89,571","31,997,940",Public,Commercial,Limanda aspera,172907,AKFIN
2024,ALASKA,"VERTEBRATES, JAWED","125,158",57,"12,002",Public,Commercial,Gnathostomata ,914179,AKFIN
2024,CALIFORNIA,"ANCHOVY, NORTHERN","9,718,839","4,408","627,641",Public,Commercial,Engraulis mordax,161828,PACFIN
2024,CALIFORNIA,"BARRACUDA, PACIFIC",550,0,"1,566",Public,Commercial,Sphyraena argentea,170426,PACFIN
2024,CALIFORNIA,"BASS, WHITE SEA","161,311",73,"690,726",Public,Commercial,Atractoscion nobilis,169387,PACFIN
2024,CALIFORNIA,"BONITO, PACIFIC","2,328",1,"4,557",Public,Commercial,Sarda chiliensis,172408,PACFIN
2024,CALIFORNIA,CABEZON,"56,507",26,"396,761",Public,Commercial,Scorpaenichthys marmoratus,692068,PACFIN
2024,CALIFORNIA,CLAMS **,,,,Confidential,Commercial,Bivalvia,79118,PACFIN
2024,CALIFORNIA,"COD, PACIFIC",,,,Confidential,Commercial,Gadus macrocephalus,164711,PACFIN
2024,CALIFORNIA,"CRAB, DUNGENESS","14,173,706","6,429","49,745,602",Public,Commercial,Cancer magister,98675,PACFIN
2024,CALIFORNIA,"CRAB, KING **","2,498",1,"14,327",Public,Commercial,Paralithodes,97934,PACFIN
2024,CALIFORNIA,"CRAB, RED ROCK","948,833",430,"2,200,363",Public,Commercial,Cancer productus,98672,PACFIN
2024,CALIFORNIA,"CRAB, SOUTHERN TANNER","1,782",1,"2,370",Public,Commercial,Chionoecetes bairdi,98429,PACFIN
2024,CALIFORNIA,"CRABS, DECAPODA (ORDER) **","60,537",27,"167,606",Public,Commercial,Decapoda,95599,PACFIN
2024,CALIFORNIA,"CROAKER, PACIFIC WHITE","24,466",11,"38,377",Public,Commercial,Genyonemus lineatus,169257,PACFIN
2024,CALIFORNIA,"CUCUMBERS, SEA **","97,645",44,"586,456",Public,Commercial,Holothuroidea,158140,PACFIN
2024,CALIFORNIA,DOLPHINFISH,"15,919",7,"39,084",Public,Commercial,Coryphaena hippurus,168791,PACFIN
2024,CALIFORNIA,ECHINODERM **,154,0,777,Public,Commercial,Echinodermata,156857,PACFIN
2024,CALIFORNIA,EELS **,146,0,276,Public,Commercial,Anguilliformes,161123,PACFIN
2024,CALIFORNIA,FLATFISHES **,988,0,"1,512",Public,Commercial,Pleuronectiformes,172702,PACFIN
2024,CALIFORNIA,"FLOUNDER, ARROWTOOTH",,,,Confidential,Commercial,Atheresthes stomias,172862,PACFIN
2024,CALIFORNIA,"FLOUNDER, ARROWTOOTH",990,0,35,Public,Commercial,Atheresthes stomias,172862,PACFIN
2024,CALIFORNIA,"FLOUNDER, PACIFIC, SANDDAB **","77,568",35,"74,064",Public,Commercial,Citharichthys ,172715,PACFIN
